ShotMarker Archived Data (generated Sep 21 2026)
Exported 6 strings from Sep 12 of 145 total in archive

Sep 12 2026,M6 R1 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,134-3X,142-4X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,1:53.24 pm,sighter/incomplete,RS1,6,28,542,207,1850,0.9,-1.7,,0,"sim_t(28,12892,9804,907,5740,12012,9804,0,4891);"
,1:54.11 pm,sighter/incomplete,S1,7,28,535,-117,1901,1,-1.1,,0,"sim_t(28,9378,10352,2986,834,8509,10352,2110,0);"
,1:54.55 pm,sighter/incomplete,RS2,9,28,-166,4,1781,1.9,-2.8,,0,"sim_t(28,1088,0,3293,4199,188,0,2366,3342);"
,1:55.37 pm,incomplete,1,10,28,-70,31,1891,2.3,-3.1,,0,"sim_t(28,848,138,1190,2581,0,138,316,1792);"
,1:56.15 pm,incomplete,R1,8,28,-219,246,1794,2.2,-3,,0,"sim_t(28,4699,0,4005,8320,3814,0,3099,7479);"
,1:56.42 pm,incomplete,2,7,28,-389,56,1891,1.7,-2.1,,0,"sim_t(28,1346,0,6448,7785,499,0,5587,6971);"
,1:57.27 pm,incomplete,R2,7,28,-453,85,1780,2.2,-2.8,,0,"sim_t(28,3034,0,8327,10190,2144,0,7415,9335);"
,1:57.51 pm,incomplete,3,X,28,-40,28,1900,1,-1.9,,0,"sim_t(28,1137,0,1055,2044,288,0,181,1221);"
,1:58.22 pm,incomplete,R3,7,28,245,308,1797,0.9,-1.6,,0,"sim_t(28,9792,4963,920,6856,8890,4963,0,5980);"
,1:58.47 pm,incomplete,4,9,28,201,100,1906,0.9,-1.4,,0,"sim_t(28,5906,-1,869,3080,5051,-1,0,2252);"
,1:59.21 pm,incomplete,R4,9,28,237,-14,1846,1.2,-1.9,,0,"sim_t(28,4630,4203,904,1210,3747,4203,0,366);"
,1:59.47 pm,incomplete,5,9,28,88,148,1909,1.2,-2,,0,"sim_t(28,4949,1923,868,3968,4103,1923,0,3156);"
,2:00.21 pm,incomplete,R5,9,28,188,-81,1827,1.5,-2.1,,0,"sim_t(28,3496,4004,1663,848,2601,4004,751,0);"
,2:00.43 pm,incomplete,6,9,28,224,10,1938,1.4,-1.9,,0,"sim_t(28,4832,4006,860,1597,3990,4006,0,800);"
,2:01.06 pm,incomplete,R6,9,28,104,90,1832,1,-1.9,,0,"sim_t(28,4253,2228,907,2988,3370,2228,0,2134);"
